haskell-pandoc-types 1.16.1-12
haskell-parsec 3.1.11-1
haskell-pcre-light 0.4.0.4-1
haskell-pem 0.2.2-2
haskell-primitive 0.6.1.0-1
haskell-random 1.1-5
haskell-resourcet 1.1.7.4-1
haskell-rfc5051 0.1.0.3-2
haskell-roman-numerals 0.5.1.5-2
haskell-scientific 0.3.4.6-2
haskell-semigroups 0.18.1-4
haskell-setenv 0.1.1.3-2
haskell-sha 1.6.4.2-4
haskell-socks 0.5.5-1
haskell-split 0.2.3.1-1
haskell-stm 2.4.4.1-1
haskell-streaming-commons 0.1.15.5-1
haskell-syb 0.6-3
haskell-tagged 0.8.4-1
haskell-tagsoup 0.13.10-1
haskell-temporary 1.2.0.4-1
haskell-texmath 0.8.6.2-3
haskell-text 1.2.2.1-1
haskell-text-icu 0.7.0.1-4
haskell-tls 1.3.8-1
haskell-transformers-base 0.4.4-4
haskell-transformers-compat 0.5.1.4-1
haskell-unix-compat 0.4.1.4-3
haskell-unordered-containers 0.2.7.0-2
haskell-utf8-string 1.0.1.1-1
haskell-utility-ht 0.0.11-1
haskell-vector 0.11.0.0-5
haskell-x509 1.6.3-12
haskell-x509-store 1.6.1-12
haskell-x509-system 1.6.3-9
haskell-x509-validation 1.6.3-12
haskell-xml 1.3.14-4
haskell-xml-conduit 1.3.5-1
haskell-xml-types 0.3.6-4
haskell-yaml 0.8.17.1-4
haskell-zip-archive 0.3.0.2-1
haskell-zlib 0.6.1.1-2
haveged 1.9.1-2
hddtemp 0.3.beta15.52-2
hdf5 1.10.0-1
hdparm 9.48-1
hicolor-icon-theme 0.15-1
hitori 3.20.0-1
hplip 3.16.5-3
hspell 1.3-1
htop 2.0.1-1
http-parser 2.7.0-1
hunspell 1.3.4-1
hunspell-en 2016.01.19-1
hwids 20160306-1
hwinfo 21.23_1.2-1
hyphen 2.8.8-1
hyphen-en 2.8.8-1
i3-scripts 20160322-1
i3-scrot 1.0-1
i3-theme-dark 20150725-1
i3-wm 4.12-1
i3lock 2.7-1
i3status-manjaro 2.10.r13.ge073cf4-2
iagno 3.20.2-1
iana-etc 20160513-1
icedtea-web 1.6.2-2
icu 57.1-1
idnkit 1.0-3
ilmbase 2.2.0-2
imagemagick 6.9.4.0-1
imlib2 1.4.9-1
inetutils 1.9.4-2
inputproto 2.3.2-1
intel-ucode 20151106-1
intellij-idea-community-edition 1:2016.1.2-1
intellij-idea-libs 1:2016.1.2-1
inxi 2.3.0-1
iproute2 4.5.0-2
iptables 1.6.0-1
iputils 20160308.0db72a4-1
ipw2100-fw 1.3-7
ipw2200-fw 3.1-5
ipython 4.2.0-2
iso-codes 3.68-1
iw 4.3-1
jack 0.124.1-6
jansson 2.7-1
jasper 1.900.1-15
java-environment-common 2-2
java-runtime-common 2-2
jbig2dec 0.12-1
jdk8-openjdk 8.u92-1
jfsutils 1.1.15-4
jre8-openjdk 8.u92-1
jre8-openjdk-headless 8.u92-1
js 24.2.0-3
js17 17.0.0-3
js185 1.0.0-3
json-c 0.12-2
json-glib 1.2.0-1
kauth 5.22.0-1
kbd 2.0.3-1
kbproto 1.0.7-1
kcoreaddons 5.22.0-1
kdebase-runtime 16.04.1-1
kdegraphics-okular 16.04.1-1
kdelibs 4.14.20-1
kdepimlibs4 4.14.10-8
keyutils 1.5.9-1
kitemmodels 5.22.0-1
kmod 22-1
krb5 1.13.4-1
ladspa 1.13-6
lame 3.99.5-3
lcms 1.19-5
lcms2 2.7-1
ldb 1.1.26-1
ldns 1.6.17-4
less 481-2
lib32-acl 2.2.52-2
